group_type	target_label	biosample_term_name	experiment_accession	selected_file_accession	region_class	peak_count	peak_fraction	peak_percent
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	five_prime_utr	0	0.0	0.0
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	three_prime_utr	0	0.0	0.0
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	utr	18024	0.112937	11.2937
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	CDS	6039	0.03784	3.784
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	exon	5028	0.031505	3.1505
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	intron	129082	0.808815	80.8815
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	gene	1300	0.008146	0.8146
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	intergenic	121	0.000758	0.0758
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	five_prime_utr	0	0.0	0.0
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	three_prime_utr	0	0.0	0.0
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	utr	28877	0.158279	15.8279
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	CDS	15958	0.087468	8.7468
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	exon	6766	0.037085	3.7085
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	intron	129168	0.707987	70.7987
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	gene	1495	0.008194	0.8194
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	intergenic	180	0.000987	0.0987
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	five_prime_utr	0	0.0	0.0
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	three_prime_utr	0	0.0	0.0
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	15709	0.097877	9.7877
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	9519	0.059309	5.9309
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	4261	0.026549	2.6549
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intron	128984	0.803649	80.3649
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	1944	0.012112	1.2112
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic	81	0.000505	0.0505
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	five_prime_utr	0	0.0	0.0
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	three_prime_utr	0	0.0	0.0
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	13089	0.121754	12.1754
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	CDS	23051	0.21442	21.442
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	2825	0.026278	2.6278
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intron	67905	0.631651	63.1651
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	570	0.005302	0.5302
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic	64	0.000595	0.0595
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	five_prime_utr	0	0.0	0.0
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	three_prime_utr	0	0.0	0.0
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	utr	6291	0.149629	14.9629
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	CDS	5231	0.124417	12.4417
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	exon	1568	0.037294	3.7294
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	intron	28404	0.675578	67.5578
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	gene	521	0.012392	1.2392
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	intergenic	29	0.00069	0.069
