experiment_accession	target_label	biosample_term_name	file_accession	output_type	file_format	assembly	local_path	file_size_bytes	peak_count	inventory_status	ranking_score	ranking_reason	is_selected
ENCSR828ZID	HNRNPK	HepG2	ENCFF754XAQ	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/HepG2/ENCSR828ZID/ENCFF754XAQ.peaks.GRCh38.bed	1818868	159594	ok	190	+100:inventory_ok,+60:peak_count_ge_30000(159594),+10:peaks,+10:size_ge_1MB,+5:file_format_bed,+5:assembly_grch38	yes
ENCSR828ZID	HNRNPK	HepG2	ENCFF288MWL	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/HepG2/ENCSR828ZID/ENCFF288MWL.peaks.GRCh38.bed	1575893	136561	ok	190	+100:inventory_ok,+60:peak_count_ge_30000(136561),+10:peaks,+10:size_ge_1MB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR828ZID	HNRNPK	HepG2	ENCFF855CPQ	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/HepG2/ENCSR828ZID/ENCFF855CPQ.peaks.GRCh38.bed	123250	5707	ok	151	+100:inventory_ok,+30:peak_count_ge_5000(5707),+10:peaks,+1:size_gt_0,+5:file_format_bed,+5:assembly_grch38	no
ENCSR953ZOA	HNRNPK	K562	ENCFF969JDI	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/K562/ENCSR953ZOA/ENCFF969JDI.peaks.GRCh38.bed	2320831	182444	ok	195	+100:inventory_ok,+60:peak_count_ge_30000(182444),+10:peaks,+15:size_ge_2MB,+5:file_format_bed,+5:assembly_grch38	yes
ENCSR953ZOA	HNRNPK	K562	ENCFF679HYT	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/K562/ENCSR953ZOA/ENCFF679HYT.peaks.GRCh38.bed	1484312	119749	ok	190	+100:inventory_ok,+60:peak_count_ge_30000(119749),+10:peaks,+10:size_ge_1MB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR953ZOA	HNRNPK	K562	ENCFF318RSO	peaks	bed	GRCh38	raw/encode/peaks/HNRNPK/K562/ENCSR953ZOA/ENCFF318RSO.peaks.GRCh38.bed	110713	4919	ok	141	+100:inventory_ok,+20:peak_count_ge_1000(4919),+10:peaks,+1:size_gt_0,+5:file_format_bed,+5:assembly_grch38	no
ENCSR187VEQ	TARDBP	HepG2	ENCFF626XAA	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/HepG2/ENCSR187VEQ/ENCFF626XAA.peaks.GRCh38.bed	2144744	160498	ok	195	+100:inventory_ok,+60:peak_count_ge_30000(160498),+10:peaks,+15:size_ge_2MB,+5:file_format_bed,+5:assembly_grch38	yes
ENCSR187VEQ	TARDBP	HepG2	ENCFF421FJD	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/HepG2/ENCSR187VEQ/ENCFF421FJD.peaks.GRCh38.bed	2013881	153966	ok	195	+100:inventory_ok,+60:peak_count_ge_30000(153966),+10:peaks,+15:size_ge_2MB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR187VEQ	TARDBP	HepG2	ENCFF673QBV	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/HepG2/ENCSR187VEQ/ENCFF673QBV.peaks.GRCh38.bed	443962	19479	ok	165	+100:inventory_ok,+40:peak_count_ge_10000(19479),+10:peaks,+5:size_ge_300KB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR584TCR	TARDBP	K562	ENCFF606RXB	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR584TCR/ENCFF606RXB.peaks.GRCh38.bed	1298930	107504	ok	190	+100:inventory_ok,+60:peak_count_ge_30000(107504),+10:peaks,+10:size_ge_1MB,+5:file_format_bed,+5:assembly_grch38	yes
ENCSR584TCR	TARDBP	K562	ENCFF669TNM	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR584TCR/ENCFF669TNM.peaks.GRCh38.bed	966669	76790	ok	185	+100:inventory_ok,+60:peak_count_ge_30000(76790),+10:peaks,+5:size_ge_300KB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR584TCR	TARDBP	K562	ENCFF037TVC	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR584TCR/ENCFF037TVC.peaks.GRCh38.bed	152254	7010	ok	151	+100:inventory_ok,+30:peak_count_ge_5000(7010),+10:peaks,+1:size_gt_0,+5:file_format_bed,+5:assembly_grch38	no
ENCSR720BJU	TARDBP	K562	ENCFF381KTD	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR720BJU/ENCFF381KTD.peaks.GRCh38.bed	532323	42044	ok	185	+100:inventory_ok,+60:peak_count_ge_30000(42044),+10:peaks,+5:size_ge_300KB,+5:file_format_bed,+5:assembly_grch38	yes
ENCSR720BJU	TARDBP	K562	ENCFF265XPM	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR720BJU/ENCFF265XPM.peaks.GRCh38.bed	518160	40555	ok	185	+100:inventory_ok,+60:peak_count_ge_30000(40555),+10:peaks,+5:size_ge_300KB,+5:file_format_bed,+5:assembly_grch38	no
ENCSR720BJU	TARDBP	K562	ENCFF593RED	peaks	bed	GRCh38	raw/encode/peaks/TARDBP/K562/ENCSR720BJU/ENCFF593RED.peaks.GRCh38.bed	91663	4592	ok	141	+100:inventory_ok,+20:peak_count_ge_1000(4592),+10:peaks,+1:size_gt_0,+5:file_format_bed,+5:assembly_grch38	no
