priority_rank	priority_level	priority_score	comparison_scope	comparison_type	comparison_id	left_target_label	left_biosample_term_name	left_experiment_accession	left_selected_file_accession	right_target_label	right_biosample_term_name	right_experiment_accession	right_selected_file_accession	dominant_shift_region	dominant_shift_delta_percent	dominant_shift_abs_delta_percent	left_dominant_region	left_dominant_region_percent	right_dominant_region	right_dominant_region_percent	recommended_followup_focus	recommended_peak_subset	followup_note
1	priority_1	22.6998	sample	sample_same_target_diff_biosample	sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intron	-17.1998	17.1998	intron	80.3649	intron	63.1651	same_RBP_cross_biosample_region_shift:intron	intron_specific_and_shared_peaks_between_biosamples	Prioritize extracting intron peaks for the same RBP across biosamples; compare shared vs biosample-specific sets and map to genes.
2	priority_1	20.9648	aggregated	aggregated_same_target_diff_biosample	aggregated__TARDBP__HepG2__VS__TARDBP__K562	TARDBP	HepG2			TARDBP	K562			intron	-15.9648	15.9648	intron	80.3649	intron	64.4001	same_RBP_cross_biosample_region_shift:intron	intron_specific_and_shared_peaks_between_biosamples	Prioritize extracting intron peaks for the same RBP across biosamples; compare shared vs biosample-specific sets and map to genes.
3	priority_2	18.3071	sample	sample_same_target_diff_biosample	sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR720BJU__ENCFF381KTD	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	intron	-12.8071	12.8071	intron	80.3649	intron	67.5578	same_RBP_cross_biosample_region_shift:intron	intron_specific_and_shared_peaks_between_biosamples	Prioritize extracting intron peaks for the same RBP across biosamples; compare shared vs biosample-specific sets and map to genes.
4	priority_2	17.1952	sample	sample_same_biosample_diff_target	sample__HNRNPK__K562__ENCSR953ZOA__ENCFF969JDI__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	CDS	12.6952	12.6952	intron	70.7987	intron	63.1651	same_biosample_cross_RBP_region_shift:CDS	CDS_specific_and_shared_peaks_between_RBPs	Prioritize extracting CDS peaks for different RBPs in the same biosample; compare RBP-specific sets and map to genes.
5	priority_2	15.5828	sample	sample_same_target_diff_biosample	sample__HNRNPK__HepG2__ENCSR828ZID__ENCFF754XAQ__VS__HNRNPK__K562__ENCSR953ZOA__ENCFF969JDI	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	intron	-10.0828	10.0828	intron	80.8815	intron	70.7987	same_RBP_cross_biosample_region_shift:intron	intron_specific_and_shared_peaks_between_biosamples	Prioritize extracting intron peaks for the same RBP across biosamples; compare shared vs biosample-specific sets and map to genes.
6	priority_2	15.0828	aggregated	aggregated_same_target_diff_biosample	aggregated__HNRNPK__HepG2__VS__HNRNPK__K562	HNRNPK	HepG2			HNRNPK	K562			intron	-10.0828	10.0828	intron	80.8815	intron	70.7987	same_RBP_cross_biosample_region_shift:intron	intron_specific_and_shared_peaks_between_biosamples	Prioritize extracting intron peaks for the same RBP across biosamples; compare shared vs biosample-specific sets and map to genes.
7	priority_3	14.1649	aggregated	aggregated_same_biosample_diff_target	aggregated__HNRNPK__K562__VS__TARDBP__K562	HNRNPK	K562			TARDBP	K562			CDS	10.1649	10.1649	intron	70.7987	intron	64.4001	same_biosample_cross_RBP_region_shift:CDS	CDS_specific_and_shared_peaks_between_RBPs	Prioritize extracting CDS peaks for different RBPs in the same biosample; compare RBP-specific sets and map to genes.
8	priority_3	8.1949	sample	sample_same_biosample_diff_target	sample__HNRNPK__K562__ENCSR953ZOA__ENCFF969JDI__VS__TARDBP__K562__ENCSR720BJU__ENCFF381KTD	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	CDS	3.6949	3.6949	intron	70.7987	intron	67.5578	same_biosample_cross_RBP_region_shift:CDS	CDS_specific_and_shared_peaks_between_RBPs	Prioritize extracting CDS peaks for different RBPs in the same biosample; compare RBP-specific sets and map to genes.
9	priority_3	6.6469	sample	sample_same_biosample_diff_target	sample__HNRNPK__HepG2__ENCSR828ZID__ENCFF754XAQ__VS__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	2.1469	2.1469	intron	80.8815	intron	80.3649	same_biosample_cross_RBP_region_shift:CDS	CDS_specific_and_shared_peaks_between_RBPs	Prioritize extracting CDS peaks for different RBPs in the same biosample; compare RBP-specific sets and map to genes.
10	priority_3	6.1469	aggregated	aggregated_same_biosample_diff_target	aggregated__HNRNPK__HepG2__VS__TARDBP__HepG2	HNRNPK	HepG2			TARDBP	HepG2			CDS	2.1469	2.1469	intron	80.8815	intron	80.3649	same_biosample_cross_RBP_region_shift:CDS	CDS_specific_and_shared_peaks_between_RBPs	Prioritize extracting CDS peaks for different RBPs in the same biosample; compare RBP-specific sets and map to genes.
